Year,Month,LowT,HighT,WarmestMinT,ColdestMaxT,AvgMinT,AvgMaxT,MeanT,TotalPrecip,Max24hrPrecip
1991,Dec,43,80,58,57,50.2,67.1,58.7,2.86,1.07
1991,Jan,44,79,54,56,48.9,65.5,57.2,1.38,0.66
1991,Feb,46,81,58,60,51.9,67.8,59.8,2.53,1.6
1991,Mar,40,71,55,54,48.5,61.4,55,3.96,0.72
1991,Apr,50,82,59,60,53.8,68.1,61,0,0
1992,Oct,56,90,65,68,60.8,73.1,67,0.5,0.24
1992,Nov,44,85,61,65,53.2,74.1,63.7,0,0
1992,Dec,40,75,53,58,47.3,64.3,55.8,4.16,1.71
1992,Jan,42,83,56,53,47.9,68.8,58.4,1.61,0.84
1992,Feb,49,83,58,59,53.2,68.3,60.8,4.7,1.38
1992,Mar,49,71,58,60,53.7,64.6,59.2,5.08,1.28
1992,Apr,52,81,62,67,58.7,72.5,65.6,0.18,0.18
1993,Oct,56,90,65,70,60.5,76.3,68.4,0.09,0.06
1993,Nov,47,91,60,65,54.3,72.8,63.6,0.93,0.41
1993,Dec,41,84,54,59,48,68.8,58.4,0.97,0.46
1993,Jan,41,81,56,53,49.3,63.1,56.2,10.63,3.23
1993,Feb,44,74,57,58,50.4,63.6,57,5.48,2.42
1993,Mar,46,83,59,60,53.4,67.5,60.5,1.83,1.04
1993,Apr,52,79,61,64,55.2,70.3,62.8,0,0
1994,Oct,51,98,67,68,58.9,74.8,66.8,0.14,0.14
1994,Nov,39,82,57,58,48.6,67.2,57.9,0.66,0.38
1994,Dec,42,77,60,59,49,66,57.5,1.05,0.57
1994,Jan,42,82,57,60,48.5,69.8,59.1,0.33,0.33
1994,Feb,43,75,55,57,48.8,65.1,57,4.36,1.26
1994,Mar,45,86,59,60,53.4,68,60.7,1.01,0.66
1994,Apr,44,83,57,60,53.7,66.7,60.2,0.44,0.19
1995,Oct,51,93,64,63,60.1,74.5,67.3,0.01,0.01
1995,Nov,50,82,61,64,55.4,70.3,62.8,0.1,0.1
1995,Dec,45,74,58,56,51.1,66.6,58.9,2.16,0.82
1995,Jan,44,78,57,56,50.9,62.6,56.8,12.71,3.5
1995,Feb,49,90,62,59,54.1,69.2,61.6,0.62,0.26
1995,Mar,44,76,59,57,53.1,67,60,5.67,1.89
1995,Apr,46,82,58,56,53,68,60.5,0.74,0.69
1996,Oct,48,77,62,60,57.1,70.6,63.8,1.46,1.45
1996,Nov,44,93,62,61,53.7,70.5,62.1,1.93,1.45
1996,Dec,45,76,58,57,50.5,65.8,58.2,4.74,1.5
1996,Jan,41,86,54,58,49.5,66.8,58.2,1.94,1.25
1996,Feb,37,85,58,54,52,64.6,58.3,4.19,1.9
1996,Mar,47,83,59,59,52.6,67.6,60.1,1.36,0.8
